-------------------------------------
PRODIGAL v2.6.3 [February, 2016]         
Univ of Tenn / Oak Ridge National Lab
Doug Hyatt, Loren Hauser, et al.     
-------------------------------------
Request:  Single Genome, Phase:  Training
Reading in the sequence(s) to train...6891757 bp seq created, 60.54 pct GC
Locating all potential starts and stops...471169 nodes
Looking for GC bias in different frames...frame bias scores: 0.63 0.12 2.26
Building initial set of genes to train from...done!
Creating coding model and scoring nodes...done!
Examining upstream regions and training starts...done!
-------------------------------------
Request:  Single Genome, Phase:  Gene Finding
Finding genes in sequence #436 (107 bp)...done!
Finding genes in sequence #437 (107 bp)...done!
Finding genes in sequence #438 (106 bp)...done!
Finding genes in sequence #439 (106 bp)...done!
Finding genes in sequence #440 (105 bp)...done!
Finding genes in sequence #441 (105 bp)...done!
Finding genes in sequence #442 (105 bp)...done!
Finding genes in sequence #443 (105 bp)...done!
Finding genes in sequence #444 (105 bp)...done!
Finding genes in sequence #445 (105 bp)...done!
Finding genes in sequence #446 (105 bp)...done!
Finding genes in sequence #447 (104 bp)...done!
Finding genes in sequence #448 (104 bp)...done!
Finding genes in sequence #449 (104 bp)...done!
Finding genes in sequence #450 (103 bp)...done!
Finding genes in sequence #451 (103 bp)...done!
Finding genes in sequence #452 (103 bp)...done!
Finding genes in sequence #453 (103 bp)...done!
Finding genes in sequence #454 (103 bp)...done!
Finding genes in sequence #455 (102 bp)...done!
Finding genes in sequence #456 (102 bp)...done!
Finding genes in sequence #457 (102 bp)...done!
Finding genes in sequence #458 (102 bp)...done!
Finding genes in sequence #459 (102 bp)...done!
Finding genes in sequence #460 (101 bp)...done!
Finding genes in sequence #461 (101 bp)...done!
Finding genes in sequence #462 (100 bp)...done!
Finding genes in sequence #463 (100 bp)...done!
Finding genes in sequence #464 (100 bp)...done!
Finding genes in sequence #465 (100 bp)...done!
Finding genes in sequence #466 (99 bp)...done!
Finding genes in sequence #467 (99 bp)...done!
Finding genes in sequence #468 (99 bp)...done!
Finding genes in sequence #469 (98 bp)...done!
Finding genes in sequence #470 (97 bp)...done!
Finding genes in sequence #471 (97 bp)...done!
Finding genes in sequence #472 (97 bp)...done!
Finding genes in sequence #473 (97 bp)...done!
Finding genes in sequence #474 (97 bp)...done!
Finding genes in sequence #475 (97 bp)...done!
Finding genes in sequence #476 (96 bp)...done!
Finding genes in sequence #477 (96 bp)...done!
Finding genes in sequence #478 (96 bp)...done!
Finding genes in sequence #479 (96 bp)...done!
Finding genes in sequence #480 (96 bp)...done!
Finding genes in sequence #481 (96 bp)...done!
Finding genes in sequence #482 (96 bp)...done!
Finding genes in sequence #483 (95 bp)...done!
Finding genes in sequence #484 (95 bp)...done!
Finding genes in sequence #485 (95 bp)...done!
Finding genes in sequence #486 (95 bp)...done!
Finding genes in sequence #487 (95 bp)...done!
Finding genes in sequence #488 (95 bp)...done!
Finding genes in sequence #489 (95 bp)...done!
Finding genes in sequence #490 (95 bp)...done!
Finding genes in sequence #491 (94 bp)...done!
Finding genes in sequence #492 (94 bp)...done!
Finding genes in sequence #493 (94 bp)...done!
Finding genes in sequence #494 (94 bp)...done!
Finding genes in sequence #495 (94 bp)...done!
Finding genes in sequence #496 (93 bp)...done!
Finding genes in sequence #497 (93 bp)...done!
Finding genes in sequence #498 (93 bp)...done!
Finding genes in sequence #499 (93 bp)...done!
Finding genes in sequence #500 (92 bp)...done!
Finding genes in sequence #501 (92 bp)...done!
Finding genes in sequence #502 (92 bp)...done!
Finding genes in sequence #503 (91 bp)...done!
Finding genes in sequence #504 (91 bp)...done!
Finding genes in sequence #505 (91 bp)...done!
Finding genes in sequence #506 (91 bp)...done!
Finding genes in sequence #507 (90 bp)...done!
Finding genes in sequence #508 (90 bp)...done!
Finding genes in sequence #509 (90 bp)...done!
Finding genes in sequence #510 (90 bp)...done!
Finding genes in sequence #511 (90 bp)...done!
Finding genes in sequence #512 (89 bp)...done!
Finding genes in sequence #513 (89 bp)...done!
Finding genes in sequence #514 (89 bp)...done!
Finding genes in sequence #515 (89 bp)...done!
Finding genes in sequence #516 (89 bp)...done!
Finding genes in sequence #517 (89 bp)...done!
Finding genes in sequence #518 (89 bp)...done!
Finding genes in sequence #519 (89 bp)...done!
Finding genes in sequence #520 (89 bp)...done!
Finding genes in sequence #521 (89 bp)...done!
Finding genes in sequence #522 (88 bp)...done!
Finding genes in sequence #523 (88 bp)...done!
Finding genes in sequence #524 (88 bp)...done!
Finding genes in sequence #525 (88 bp)...done!
Finding genes in sequence #526 (88 bp)...done!
Finding genes in sequence #527 (88 bp)...done!
Finding genes in sequence #528 (88 bp)...done!
Finding genes in sequence #529 (88 bp)...done!
Finding genes in sequence #530 (88 bp)...done!
Finding genes in sequence #531 (88 bp)...done!
Finding genes in sequence #532 (88 bp)...done!
Finding genes in sequence #533 (87 bp)...done!
Finding genes in sequence #534 (87 bp)...done!
Finding genes in sequence #535 (87 bp)...done!
Finding genes in sequence #536 (87 bp)...done!
Finding genes in sequence #537 (87 bp)...done!
Finding genes in sequence #538 (87 bp)...done!
Finding genes in sequence #539 (87 bp)...done!
Finding genes in sequence #540 (86 bp)...done!
Finding genes in sequence #541 (86 bp)...done!
Finding genes in sequence #542 (86 bp)...done!
Finding genes in sequence #543 (86 bp)...done!
Finding genes in sequence #544 (86 bp)...done!
Finding genes in sequence #545 (85 bp)...done!
Finding genes in sequence #546 (85 bp)...done!
Finding genes in sequence #547 (85 bp)...done!
Finding genes in sequence #548 (85 bp)...done!
Finding genes in sequence #549 (84 bp)...done!
Finding genes in sequence #550 (84 bp)...done!
Finding genes in sequence #551 (84 bp)...done!
Finding genes in sequence #552 (83 bp)...done!
Finding genes in sequence #553 (83 bp)...done!
Finding genes in sequence #554 (83 bp)...done!
Finding genes in sequence #555 (83 bp)...done!
Finding genes in sequence #556 (83 bp)...done!
Finding genes in sequence #557 (83 bp)...done!
Finding genes in sequence #558 (83 bp)...done!
Finding genes in sequence #559 (83 bp)...done!
Finding genes in sequence #560 (83 bp)...done!
Finding genes in sequence #561 (83 bp)...done!
Finding genes in sequence #562 (83 bp)...done!
Finding genes in sequence #563 (82 bp)...done!
Finding genes in sequence #564 (82 bp)...done!
Finding genes in sequence #565 (82 bp)...done!
Finding genes in sequence #566 (82 bp)...done!
Finding genes in sequence #567 (82 bp)...done!
Finding genes in sequence #568 (82 bp)...done!
Finding genes in sequence #569 (81 bp)...done!
Finding genes in sequence #570 (81 bp)...done!
Finding genes in sequence #571 (81 bp)...done!
Finding genes in sequence #572 (81 bp)...done!
