#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_144272_cov_2.753151_128 -            520 46726at72274         -            190   1.2e-28   98.8   1.9   4   4   7.3e-17   3.4e-15   54.9   0.0    81   154   404   480   386   484 0.89 # 126406 # 127965 # 1 # ID=2_128;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_45_length_50663_cov_2.754749_25  -            518 46726at72274         -            190     1e-27   95.8   5.7   1   4   5.1e-08   2.4e-06   26.1   0.0     6    55    21    74    17    95 0.85 # 21947 # 23500 # -1 # ID=45_25;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_45_length_50663_cov_2.754749_25  -            518 46726at72274         -            190     1e-27   95.8   5.7   2   4   5.8e-07   2.7e-05   22.6   0.4    81   161   142   227   120   241 0.80 # 21947 # 23500 # -1 # ID=45_25;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_45_length_50663_cov_2.754749_25  -            518 46726at72274         -            190     1e-27   95.8   5.7   3   4     0.056       2.6    6.4   0.0    11    49   275   316   269   325 0.79 # 21947 # 23500 # -1 # ID=45_25;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_45_length_50663_cov_2.754749_25  -            518 46726at72274         -            190     1e-27   95.8   5.7   4   4   1.8e-12   8.4e-11   40.6   0.0    80   153   397   473   347   504 0.87 # 21947 # 23500 # -1 # ID=45_25;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_49_length_49656_cov_2.774556_11  -            503 46726at72274         -            190     7e-27   93.0   3.8   1   4   1.4e-05   0.00068   18.1   0.0    18    49    36    67    21    75 0.85 # 6687 # 8195 # 1 # ID=49_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.627
NODE_49_length_49656_cov_2.774556_11  -            503 46726at72274         -            190     7e-27   93.0   3.8   2   4   1.9e-05   0.00091   17.7   0.1    47   152   102   215    80   221 0.71 # 6687 # 8195 # 1 # ID=49_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.627
NODE_49_length_49656_cov_2.774556_11  -            503 46726at72274         -            190     7e-27   93.0   3.8   3   4    0.0055      0.26    9.7   0.0    17    49   284   316   272   327 0.84 # 6687 # 8195 # 1 # ID=49_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.627
NODE_49_length_49656_cov_2.774556_11  -            503 46726at72274         -            190     7e-27   93.0   3.8   4   4     5e-14   2.3e-12   45.7   0.0    78   154   394   473   378   482 0.88 # 6687 # 8195 # 1 # ID=49_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.627
NODE_43_length_52922_cov_2.717890_12  -            907 46726at72274         -            190   1.6e-26   91.9   4.3   1   4   0.00018    0.0086   14.5   0.1    19    49    34    64    16    72 0.81 # 7547 # 10267 # 1 # ID=43_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.634
NODE_43_length_52922_cov_2.717890_12  -            907 46726at72274         -            190   1.6e-26   91.9   4.3   2   4   4.4e-10   2.1e-08   32.8   0.0    75   130   131   186   118   199 0.87 # 7547 # 10267 # 1 # ID=43_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.634
NODE_43_length_52922_cov_2.717890_12  -            907 46726at72274         -            190   1.6e-26   91.9   4.3   3   4   0.00023     0.011   14.1   0.1    17    49   295   327   282   371 0.84 # 7547 # 10267 # 1 # ID=43_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.634
NODE_43_length_52922_cov_2.717890_12  -            907 46726at72274         -            190   1.6e-26   91.9   4.3   4   4   8.8e-09   4.1e-07   28.6   0.0    76   140   391   459   354   491 0.75 # 7547 # 10267 # 1 # ID=43_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.634
NODE_61_length_41648_cov_2.689747_17  -            327 46726at72274         -            190   3.9e-26   90.6   0.1   1   2   3.2e-08   1.5e-06   26.7   0.0     8    48    17    60    12    66 0.86 # 20415 # 21395 # 1 # ID=61_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.600
NODE_61_length_41648_cov_2.689747_17  -            327 46726at72274         -            190   3.9e-26   90.6   0.1   2   2   6.2e-19   2.9e-17   61.7   0.0    58   177   111   234    98   246 0.83 # 20415 # 21395 # 1 # ID=61_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.600
NODE_58_length_43383_cov_2.661111_36  -            496 46726at72274         -            190   1.2e-25   89.0   2.5   1   4   5.4e-05    0.0025   16.2   0.1    20    50    36    66    25    87 0.88 # 39571 # 41058 # 1 # ID=58_36;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_58_length_43383_cov_2.661111_36  -            496 46726at72274         -            190   1.2e-25   89.0   2.5   2   4   1.5e-05   0.00068   18.1   0.0    78   145   137   207   105   241 0.83 # 39571 # 41058 # 1 # ID=58_36;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_58_length_43383_cov_2.661111_36  -            496 46726at72274         -            190   1.2e-25   89.0   2.5   3   4    0.0015     0.071   11.5   0.0    11    55   274   321   269   339 0.83 # 39571 # 41058 # 1 # ID=58_36;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_58_length_43383_cov_2.661111_36  -            496 46726at72274         -            190   1.2e-25   89.0   2.5   4   4   2.5e-12   1.2e-10   40.2   0.1    66   148   380   465   375   476 0.81 # 39571 # 41058 # 1 # ID=58_36;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.634
