-------------------------------------
PRODIGAL v2.6.3 [February, 2016]         
Univ of Tenn / Oak Ridge National Lab
Doug Hyatt, Loren Hauser, et al.     
-------------------------------------
Request:  Single Genome, Phase:  Training
Reading in the sequence(s) to train...6891420 bp seq created, 60.54 pct GC
Locating all potential starts and stops...471114 nodes
Looking for GC bias in different frames...frame bias scores: 0.63 0.12 2.26
Building initial set of genes to train from...done!
Creating coding model and scoring nodes...done!
Examining upstream regions and training starts...done!
-------------------------------------
Request:  Single Genome, Phase:  Gene Finding
Finding genes in sequence #427 (108 bp)...done!
Finding genes in sequence #428 (109 bp)...done!
Finding genes in sequence #429 (109 bp)...done!
Finding genes in sequence #430 (109 bp)...done!
Finding genes in sequence #431 (109 bp)...done!
Finding genes in sequence #432 (109 bp)...done!
Finding genes in sequence #433 (108 bp)...done!
Finding genes in sequence #434 (107 bp)...done!
Finding genes in sequence #435 (107 bp)...done!
Finding genes in sequence #436 (107 bp)...done!
Finding genes in sequence #437 (107 bp)...done!
Finding genes in sequence #438 (107 bp)...done!
Finding genes in sequence #439 (107 bp)...done!
Finding genes in sequence #440 (107 bp)...done!
Finding genes in sequence #441 (107 bp)...done!
Finding genes in sequence #442 (106 bp)...done!
Finding genes in sequence #443 (106 bp)...done!
Finding genes in sequence #444 (105 bp)...done!
Finding genes in sequence #445 (105 bp)...done!
Finding genes in sequence #446 (105 bp)...done!
Finding genes in sequence #447 (105 bp)...done!
Finding genes in sequence #448 (104 bp)...done!
Finding genes in sequence #449 (104 bp)...done!
Finding genes in sequence #450 (103 bp)...done!
Finding genes in sequence #451 (103 bp)...done!
Finding genes in sequence #452 (103 bp)...done!
Finding genes in sequence #453 (103 bp)...done!
Finding genes in sequence #454 (103 bp)...done!
Finding genes in sequence #455 (103 bp)...done!
Finding genes in sequence #456 (102 bp)...done!
Finding genes in sequence #457 (102 bp)...done!
Finding genes in sequence #458 (102 bp)...done!
Finding genes in sequence #459 (102 bp)...done!
Finding genes in sequence #460 (102 bp)...done!
Finding genes in sequence #461 (101 bp)...done!
Finding genes in sequence #462 (101 bp)...done!
Finding genes in sequence #463 (100 bp)...done!
Finding genes in sequence #464 (100 bp)...done!
Finding genes in sequence #465 (100 bp)...done!
Finding genes in sequence #466 (99 bp)...done!
Finding genes in sequence #467 (97 bp)...done!
Finding genes in sequence #468 (97 bp)...done!
Finding genes in sequence #469 (97 bp)...done!
Finding genes in sequence #470 (97 bp)...done!
Finding genes in sequence #471 (97 bp)...done!
Finding genes in sequence #472 (97 bp)...done!
Finding genes in sequence #473 (97 bp)...done!
Finding genes in sequence #474 (96 bp)...done!
Finding genes in sequence #475 (96 bp)...done!
Finding genes in sequence #476 (96 bp)...done!
Finding genes in sequence #477 (96 bp)...done!
Finding genes in sequence #478 (96 bp)...done!
Finding genes in sequence #479 (96 bp)...done!
Finding genes in sequence #480 (96 bp)...done!
Finding genes in sequence #481 (96 bp)...done!
Finding genes in sequence #482 (95 bp)...done!
Finding genes in sequence #483 (95 bp)...done!
Finding genes in sequence #484 (95 bp)...done!
Finding genes in sequence #485 (95 bp)...done!
Finding genes in sequence #486 (95 bp)...done!
Finding genes in sequence #487 (95 bp)...done!
Finding genes in sequence #488 (95 bp)...done!
Finding genes in sequence #489 (95 bp)...done!
Finding genes in sequence #490 (94 bp)...done!
Finding genes in sequence #491 (94 bp)...done!
Finding genes in sequence #492 (93 bp)...done!
Finding genes in sequence #493 (93 bp)...done!
Finding genes in sequence #494 (93 bp)...done!
Finding genes in sequence #495 (93 bp)...done!
Finding genes in sequence #496 (93 bp)...done!
Finding genes in sequence #497 (93 bp)...done!
Finding genes in sequence #498 (92 bp)...done!
Finding genes in sequence #499 (92 bp)...done!
Finding genes in sequence #500 (92 bp)...done!
Finding genes in sequence #501 (92 bp)...done!
Finding genes in sequence #502 (92 bp)...done!
Finding genes in sequence #503 (92 bp)...done!
Finding genes in sequence #504 (91 bp)...done!
Finding genes in sequence #505 (91 bp)...done!
Finding genes in sequence #506 (91 bp)...done!
Finding genes in sequence #507 (91 bp)...done!
Finding genes in sequence #508 (90 bp)...done!
Finding genes in sequence #509 (90 bp)...done!
Finding genes in sequence #510 (90 bp)...done!
Finding genes in sequence #511 (90 bp)...done!
Finding genes in sequence #512 (90 bp)...done!
Finding genes in sequence #513 (90 bp)...done!
Finding genes in sequence #514 (89 bp)...done!
