#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_24_length_98089_cov_32.704420_47   -            518 46726at72274         -            190     1e-27   95.8   5.7   2   4   5.7e-07   2.7e-05   22.6   0.4    81   161   142   227   120   241 0.80 # 44598 # 46151 # 1 # ID=24_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_24_length_98089_cov_32.704420_47   -            518 46726at72274         -            190     1e-27   95.8   5.7   3   4     0.055       2.6    6.4   0.0    11    49   275   316   269   325 0.79 # 44598 # 46151 # 1 # ID=24_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_24_length_98089_cov_32.704420_47   -            518 46726at72274         -            190     1e-27   95.8   5.7   4   4   1.8e-12   8.4e-11   40.6   0.0    80   153   397   473   347   504 0.87 # 44598 # 46151 # 1 # ID=24_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_27_length_85717_cov_31.296630_78   -            503 46726at72274         -            190     7e-27   93.0   3.8   1   4   1.4e-05   0.00068   18.1   0.0    18    49    36    67    21    75 0.85 # 77503 # 79011 # -1 # ID=27_78;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.626
NODE_27_length_85717_cov_31.296630_78   -            503 46726at72274         -            190     7e-27   93.0   3.8   2   4   1.9e-05    0.0009   17.7   0.1    47   152   102   215    80   221 0.71 # 77503 # 79011 # -1 # ID=27_78;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.626
NODE_27_length_85717_cov_31.296630_78   -            503 46726at72274         -            190     7e-27   93.0   3.8   3   4    0.0055      0.26    9.7   0.0    17    49   284   316   272   327 0.84 # 77503 # 79011 # -1 # ID=27_78;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.626
NODE_27_length_85717_cov_31.296630_78   -            503 46726at72274         -            190     7e-27   93.0   3.8   4   4   4.9e-14   2.3e-12   45.7   0.0    78   154   394   473   378   482 0.88 # 77503 # 79011 # -1 # ID=27_78;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.626
NODE_6_length_202096_cov_31.427584_86   -            907 46726at72274         -            190   1.6e-26   91.9   4.3   1   4   0.00018    0.0086   14.5   0.1    19    49    34    64    16    72 0.81 # 84767 # 87487 # 1 # ID=6_86;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.634
NODE_6_length_202096_cov_31.427584_86   -            907 46726at72274         -            190   1.6e-26   91.9   4.3   2   4   4.4e-10   2.1e-08   32.8   0.0    75   130   131   186   118   199 0.87 # 84767 # 87487 # 1 # ID=6_86;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.634
NODE_6_length_202096_cov_31.427584_86   -            907 46726at72274         -            190   1.6e-26   91.9   4.3   3   4   0.00023     0.011   14.1   0.1    17    49   295   327   282   371 0.84 # 84767 # 87487 # 1 # ID=6_86;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.634
